,NAME,RA_XFIT,DEC_XFIT,M500,R500,RA_OPT,DEC_OPT,RA_BCG,DEC_BCG,REFMAG_BCG,BEST_Z,BEST_Z_ERR,BEST_Z_TYPE,IN_ZVLIM,LAMBDA_NORM,BCG_offset,BCG_offset_kpc,BCG_offset_R500,X_scaled_0,X_scaled_1,cluster,rho_m,rho_s,sigma0_m,sigma0_s,sigma1_m,sigma1_s,logM500
1232,1eRASS J030555.2-132634,46.4799,-13.4441,51.49,1039.0,46.47959899902344,-13.44344997406006,46.47959899902344,-13.44344997406006,17.229000091552734,0.4496099948883056,0.0097300000488758,photo_z,True,31.950000762939453,2.567628375752994,14.989302496555748,0.0144266626530854,0.6005466951851665,1.4518958347784285,27,0.8159500899586748,0.02280488890821352,0.12154051884013868,0.008024402492729071,0.5765262967033141,0.03452693936105758,14.711722891827234
1233,1eRASS J030606.8-142959,46.527,-14.5001,10.7,690.0,46.525001525878906,-14.54008960723877,46.527099609375,-14.499710083007812,14.861000061035156,0.1376799941062927,0.0051699997857213,photo_z,True,11.020000457763672,1.4475437185790243,3.561246022009335,0.0051612261188541,-0.983530937216874,-0.9940922582426073,19,0.7282101865815613,0.023972630459273114,0.06840674242639398,0.0048206388527267975,0.7870022894337322,0.040324201175625504,14.02938377768521
1234,1eRASS J030609.9-190121,46.5397,-19.0247,31.01,811.0,46.52669906616211,-19.016319274902344,46.52669906616211,-19.016319274902344,18.34199905395508,0.6480200290679932,0.0127800004556775,photo_z,True,61.9900016784668,53.55684168020763,376.4338009891423,0.4641600505414825,1.6081346040115718,0.511190044313894,14,0.8477470573122843,0.08494905324413453,0.3249741930961518,0.04868768922072104,0.7559181471911132,0.46594176287696043,14.491501766237327
1235,1eRASS J030615.7-053317,46.5644,-5.5572,31.88,901.0,46.564300537109375,-5.531290054321289,46.564300537109375,-5.531290054321289,17.780000686645508,0.4025000035762787,0.0171600002795457,photo_z,True,12.449999809265137,93.27606671251384,509.95982688426017,0.5659931485951833,0.36130749628493836,0.5592135840086182,6,0.7505815925277928,0.027507755222445602,0.10018344079947572,0.007994632863053127,0.6689590904273843,0.04083931885514599,14.503518312724076
1236,1eRASS J030616.0-461818,46.5677,-46.306,26.53,777.0,46.58190155029297,-46.294700622558594,46.58190155029297,-46.294700622558594,18.631000518798828,0.6255199909210205,0.0113899996504187,photo_z,True,24.030000686645508,53.87015530996608,372.738878343094,0.4797154161429781,1.4938724071486298,0.24819711205606756,14,0.8477470573122843,0.08494905324413453,0.3249741930961518,0.04868768922072104,0.7559181471911132,0.46594176287696043,14.423737249982329
1237,1eRASS J030623.2-483549,46.5985,-48.5965,24.32,668.0,46.60390090942383,-48.5890998840332,46.58890151977539,-48.61462020874024,20.708999633789062,0.9339600205421448,0.0240299999713897,photo_z,True,10.630000114440918,69.12080757770295,553.6487763231546,0.8288155334178962,3.0602268797397123,0.10754634960341836,14,0.8477470573122843,0.08494905324413453,0.3249741930961518,0.04868768922072104,0.7559181471911132,0.46594176287696043,14.385963570600698
1238,1eRASS J030624.0-841625,46.5811,-84.2747,45.68,928.0,46.54890060424805,-84.28008270263672,46.54890060424805,-84.28008270263672,17.697999954223633,0.6342800259590149,0.011909999884665,photo_z,True,44.5,22.55886810792679,157.06633533231047,0.1692525165218862,1.5383585916385996,1.2188583278818825,27,0.8159500899586748,0.02280488890821352,0.12154051884013868,0.008024402492729071,0.5765262967033141,0.03452693936105758,14.659726095237792
1239,1eRASS J030626.6-775338,46.5952,-77.8942,33.01,954.0,46.64400100708008,-77.8781967163086,46.476200103759766,-77.8946762084961,16.895999908447266,0.2843100130558014,0.0087799998000264,photo_z,True,28.030000686645508,89.85740052904826,390.3706016103251,0.4091935027361898,-0.2388980622952841,0.6202471379217832,20,0.8060645110701193,0.023697375645136944,0.06747288601185208,0.004730848016595767,0.5696095931757025,0.03984484578076819,14.518645524330312
1240,1eRASS J030648.9-264318,46.7187,-26.7169,17.29,757.0,46.71060180664063,-26.71219062805176,46.71060180664063,-26.71219062805176,16.493999481201172,0.3247700035572052,0.0013099999632686,spec_z_boot,True,66.06999969482422,31.076841737318546,148.01414013357422,0.1955272656982486,-0.033429637328804974,-0.40085243283732686,13,0.7672176642057348,0.02676623294413791,0.1385893625939693,0.011099567934706038,0.7562111028086147,0.0472271081186875,14.237794993273923
1241,1eRASS J030651.2-323432,46.7137,-32.575,17.08,804.0,46.71590042114258,-32.57529830932617,46.71590042114258,-32.57529830932617,15.336999893188477,0.1465300023555755,0.0005799999926239,spec_z_boot,True,12.5,6.7626024600812125,17.53383397055443,0.0218082512071572,-0.9385878407557565,-0.41774450569566135,7,0.7265304836125243,0.02611425290388885,0.06289862585234833,0.0050564236365551515,0.6062230922590589,0.03148067532948159,14.232487866352987
1242,1eRASS J030652.8-120622,46.7147,-12.0946,29.28,984.0,46.77360153198242,-12.101920127868652,46.71960067749024,-12.106619834899902,13.074000358581545,0.0806400030851364,0.0013800000306218,spec_z_boot,True,60.369998931884766,46.58378192293143,71.59998776361823,0.072764215206929,-1.2731977653594178,0.412873199796691,22,0.7796185827403148,0.029719068418133387,0.058439167384181694,0.00557671295981618,0.5145258786010649,0.03759685383167444,14.466571072386355
1243,1eRASS J030655.5-481609,46.7325,-48.2683,17.47,595.0,46.71870040893555,-48.25907897949219,46.72100067138672,-48.26679992675781,20.48500061035156,0.9449999928474426,0.0148200001567602,photo_z,True,11.3100004196167,28.080447576794143,225.63954496427124,0.3792261259903718,3.116291295305119,-0.38646350233113996,14,0.8477470573122843,0.08494905324413453,0.3249741930961518,0.04868768922072104,0.7559181471911132,0.46594176287696043,14.24229290498293
1244,1eRASS J030656.2-232348,46.7331,-23.3909,19.75,730.0,46.73960113525391,-23.393709182739254,46.73960113525391,-23.393709182739254,17.097999572753906,0.5346699953079224,0.0072699999436736,photo_z,True,44.060001373291016,23.740520607631765,152.289159095858,0.2086152864326821,1.0325078523006215,-0.21100726242118606,16,0.7045489249414649,0.04757178768506875,0.23139975628520237,0.03090179336408797,0.7787692211715183,0.05038709893711808,14.29556709996248
1245,1eRASS J030657.7-474823,46.7386,-47.8082,33.98,899.0,46.74250030517578,-47.80690002441406,46.74250030517578,-47.80690002441406,17.604000091552734,0.4636200070381164,0.0087999999523162,photo_z,True,45.27999877929688,10.532398070016765,62.569031730140665,0.0695984780090552,0.6716938975079891,0.6714797733783121,3,0.8020952861054315,0.043305637148198795,0.16210824694350184,0.019573034647805188,0.6400168332196747,0.061944799254180186,14.531223374533027
1246,1eRASS J030658.7-473849,46.744,-47.6469,15.24,755.0,46.74850082397461,-47.6485710144043,46.74850082397461,-47.6485710144043,16.517000198364258,0.2179999947547912,0.0053300000727176,photo_z,True,20.770000457763672,12.465877021705875,44.50114311344791,0.0589419114085402,-0.5756409742674025,-0.5708282235743094,26,0.7792783764805501,0.02652533889626511,0.10351883776044339,0.008066173935009684,0.6208296638561993,0.038000147110904686,14.182984967003582
1247,1eRASS J030702.0-283956,46.7565,-28.6651,93.91,1369.0,46.761600494384766,-28.6685791015625,46.80929946899414,-28.57825088500977,16.948999404907227,0.2502900063991546,0.0003999999898951,cg_spec_z,True,100.63999938964844,354.3905639577691,1403.9361989389597,1.0255195025120232,-0.41166224484860975,2.7046226454541924,28,0.739373324365585,0.019460810883654617,0.05764411658530641,0.0033739523158757266,0.5132640123493821,0.021223223009386744,14.972711840547067
1248,1eRASS J030704.5-062842,46.7678,-6.4787,65.12,1169.0,46.76850128173828,-6.4795098304748535,46.76850128173828,-6.4795098304748535,16.277000427246094,0.3468199968338012,0.0003999999898951,cg_spec_z,True,49.02999877929688,3.845037061857131,19.13036509705344,0.0163647263447848,0.07854709160558375,1.9261665537166794,28,0.739373324365585,0.019460810883654617,0.05764411658530641,0.0033739523158757266,0.5132640123493821,0.021223223009386744,14.813714391881145
1249,1eRASS J030711.3-620340,46.7962,-62.061,27.1,699.0,46.78900146484375,-62.06230163574219,46.80759811401367,-62.06003952026367,20.42099952697754,0.9102399945259094,0.0235300008207559,photo_z,True,13.210000038146973,19.533643639413786,155.3374939777561,0.2222281745032276,2.9397692047545765,0.283229510518646,14,0.8477470573122843,0.08494905324413453,0.3249741930961518,0.04868768922072104,0.7559181471911132,0.46594176287696043,14.432969290874405
1250,1eRASS J030716.5-622615,46.8172,-62.4378,39.74,905.0,46.81909942626953,-62.444820404052734,46.8494987487793,-62.4028205871582,17.902000427246094,0.580049991607666,0.0013099999632686,spec_z_boot,True,65.83999633789062,136.95047400676145,914.8075888993338,1.0108371148058937,1.2629615980663171,0.9558726550077544,27,0.8159500899586748,0.02280488890821352,0.12154051884013868,0.008024402492729071,0.5765262967033141,0.03452693936105758,14.599227862773796
1251,1eRASS J030718.1-335752,46.8258,-33.9645,17.09,726.0,46.83509826660156,-33.975460052490234,46.83509826660156,-33.975460052490234,17.486000061035156,0.4233399927616119,0.0003999999898951,cg_spec_z,True,21.739999771118164,48.24548772263793,271.9120829687213,0.3745345495436932,0.4671394478292745,-0.41693753662318594,29,0.7683674591614984,0.03362802018505296,0.18105607887970757,0.01800751097505023,0.7751504887970676,0.05297378891637006,14.232742062720737
1252,1eRASS J030723.0-342329,46.845,-34.3923,39.44,847.0,46.84120178222656,-34.39126968383789,46.84120178222656,-34.39126968383789,18.48500061035156,0.7391300201416016,0.0142299998551607,photo_z,True,68.0,11.878543971776937,88.10894774144556,0.1040247316900183,2.0708194967318203,0.9418300917062317,14,0.8477470573122843,0.08494905324413453,0.3249741930961518,0.04868768922072104,0.7559181471911132,0.46594176287696043,14.595936906269174
1253,1eRASS J030724.0-164020,46.8495,-16.6727,72.91,1238.0,46.85910034179688,-16.669330596923828,46.81700134277344,-16.70244026184082,16.92300033569336,0.2931199967861175,0.006339999847114,photo_z,True,54.77000045776367,154.9926458932707,687.9733595961582,0.5557135376382538,-0.1941582227991391,2.161729856934511,28,0.739373324365585,0.019460810883654617,0.05764411658530641,0.0033739523158757266,0.5132640123493821,0.021223223009386744,14.862787098235344
1254,1eRASS J030747.0-504257,46.9561,-50.7047,59.53,1048.0,46.96060180664063,-50.70119857788086,46.96060180664063,-50.70119857788086,17.422000885009766,0.550000011920929,0.0003999999898951,cg_spec_z,True,66.95999908447266,16.252533925213687,105.7614205207288,0.1009173859930618,1.110358448139865,1.742365923388906,27,0.8159500899586748,0.02280488890821352,0.12154051884013868,0.008024402492729071,0.5765262967033141,0.03452693936105758,14.774735882551754
1255,1eRASS J030749.1-571507,46.9563,-57.2525,11.75,613.0,46.96189880371094,-57.25899887084961,46.96189880371094,-57.25899887084961,18.364999771118164,0.5375099778175354,0.0072800000198185,photo_z,True,37.20000076293945,25.817013208658302,166.05873930556163,0.2708951701558917,1.0469301674309794,-0.8896614589935439,21,0.7863057482853437,0.052443171500003494,0.28641497470687244,0.03633653497303371,0.796685623265696,0.058660330525575996,14.070037866607755
